rank,hidden_sizes,learning_rate,activation,best_epoch,best_val_acc,best_val_loss,test_acc,test_loss
1,"[256, 128]",0.001,ReLU,29,0.5285,1.3808,0.5180,1.4064
2,"[256, 128, 64]",0.001,ReLU,28,0.5159,1.4104,0.5126,1.4072
3,"[128, 64]",0.001,ReLU,28,0.5033,1.4085,0.5032,1.4157
4,[256],0.001,ReLU,30,0.4991,1.4456,0.4987,1.4521
5,[128],0.001,ReLU,27,0.4880,1.4687,0.4871,1.4615
